page,price,location,alapterulet,szobak,erkely
10,220 000 Ft/hó,"Budapest VI. kerület, Felső erdősor",46 m2,1 + 1 fél,
10,370 000 Ft/hó,"Budapest XIII. kerület, Váci út",54 m2,2 + 2 fél,
10,320 000 Ft/hó,"Budapest II. kerület, Labanc út",54 m2,2,6 m2
10,200 000 Ft/hó,"Budapest II. kerület, Alsó Völgy utca",40 m2,1,
10,310 000 Ft/hó,"Budapest XII. kerület, Szendrő utca",66 m2,2 + 1 fél,5 m2
10,230 000 Ft/hó,"Budapest XIII. kerület, Szabolcs utca",35 m2,1,4 m2
10,325 000 Ft/hó,"Budapest VI. kerület, Aradi utca",50 m2,1 + 2 fél,
10,280 000 Ft/hó,"Budapest VI. kerület, Vasvári Pál utca",61 m2,2 + 1 fél,
10,280 000 Ft/hó,"Budapest XIII. kerület, Csavargyár utca",38 m2,1 + 1 fél,8 m2
10,450 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány",69 m2,2 + 1 fél,10 m2
10,580 000 Ft/hó,"Budapest IX. kerület, Lechner Ödön fasor",90 m2,3 + 1 fél,8 m2
10,285 000 Ft/hó,"Budapest XIII. kerület, Katona József utca",65 m2,3,3 m2
10,400 000 Ft/hó,"Budapest VII. kerület, Marek József utca",62 m2,4,10 m2
10,250 000 Ft/hó,"Budapest XX. kerület, Előd utca",59 m2,1 + 1 fél,8 m2
10,350 000 Ft/hó,"Budapest VI. kerület, Weiner Leó utca",90 m2,4,
10,350 000 Ft/hó,"Budapest VII. kerület, Kertész utca",96 m2,3,
10,240 000 Ft/hó,"Budapest IX. kerület, Dandár utca",45 m2,2,10 m2
10,200 000 Ft/hó,"Budapest XIII. kerület, Szabolcs utca",31 m2,1,2 m2
10,335 000 Ft/hó,"Budapest XIII. kerület, Hajdú utca",47 m2,2,20 m2
10,260 000 Ft/hó,"Budapest III. kerület, Amfiteátrum utca",53 m2,2,
11,420 000 Ft/hó,"Budapest IV. kerület, Árpád út",100 m2,3 + 1 fél,10 m2
11,610 000 Ft/hó,"Budapest XIII. kerület, Szabolcs utca",82 m2,4,14 m2
11,270 000 Ft/hó,"Budapest XIII. kerület, Taksony utca",50 m2,2,10 m2
11,430 000 Ft/hó,"Budapest III. kerület, Nyereg út",100 m2,4,30 m2
11,230 000 Ft/hó,"Budapest IV. kerület, Szent László tér",36 m2,1 + 1 fél,
11,335 000 Ft/hó,"Budapest XIII. kerület, Szabolcs utca",47 m2,2,8 m2
11,200 000 Ft/hó,"Budapest IX. kerület, Aranyvirág sétány",28 m2,1,
11,320 000 Ft/hó,"Budapest VI. kerület, Szív utca",60 m2,2 + 1 fél,
11,380 000 Ft/hó,"Budapest XIV. kerület, Zsolnay Vilmos utca",76 m2,3,7 m2
11,260 000 Ft/hó,"Budapest IX. kerület, Mester utca",50 m2,2,1 m2
11,485 000 Ft/hó,"Budapest XI. kerület, Rupphegyi út",68 m2,3,18 m2
11,210 000 Ft/hó,"Budapest II. kerület, Pengő köz",43 m2,1,
11,445 000 Ft/hó,"Budapest II. kerület, Bem rakpart",86 m2,3,
11,310 000 Ft/hó,"Budapest XI. kerület, Nagymákfa utca",70 m2,2,50 m2
11,360 000 Ft/hó,"Budapest VI. kerület, Teréz körút",61 m2,2,
11,300 000 Ft/hó,"Budapest VI. kerület, Csengery utca",101 m2,3,
11,245 000 Ft/hó,"Budapest XIV. kerület, Szentmihályi út",47 m2,1 + 1 fél,
11,220 000 Ft/hó,"Budapest XIII. kerület, Balzac utca",31 m2,1,
11,300 000 Ft/hó,"Budapest VIII. kerület, Üllői út",90 m2,3,
11,250 000 Ft/hó,"Budapest XIV. kerület, Kalocsai utca",55 m2,3,5 m2
12,380 000 Ft/hó,"Budapest XI. kerület, Naprózsa utca",65 m2,3,55 m2
12,160 000 Ft/hó,"Budapest X. kerület, Bihari utca",40 m2,1,5 m2
12,419 900 Ft/hó,"Budapest II. kerület, Csalogány utca",71 m2,3,3 m2
12,538 664 Ft/hó,"Budapest I. kerület, Országház utca",60 m2,2,3 m2
12,280 000 Ft/hó,"Budapest XV. kerület, Kőrakás park",64 m2,2 + 1 fél,3 m2
